,CatalogNumber,Item Name,CAS Number,Plate Location,Rack Number,M.w.,Solvent ,Formula,SMILES,Solubility,Form,Pathway,Target,Information,URL,SMILES_check
34,A1748,Ramelteon,196597-26-9,D02,L1021-01,259.34,DMSO,C16H21NO2,CCC(=O)NCCC1CCC2=C1C3=C(C=C2)OCC3,insoluble in H2O; ≥12.95 mg/mL in DMSO; ≥54.9 mg/mL in EtOH ,Free Base,GPCR/G protein,MT Receptor,"Agonist of melatonin receptor(M1-M2),highly selective",https://www.apexbt.com/search.php?catalog=A1748,1
35,A1755,Tenofovir Disoproxil Fumarate,202138-50-9,D03,L1021-01,635.51,DMSO,C19H30N5O10P·C4H4O4,CC(C)OC(=O)OCOP(=O)(COC(C)CN1C=NC2=C1N=CN=C2N)OCOC(=O)OC(C)C.C(=CC(=O)O)C(=O)O,≥31.78 mg/mL in DMSO; ≥2.615 mg/mL in H2O with gentle warming and ultrasonic; ≥8.48 mg/mL in EtOH with ultrasonic,Fumarate,Microbiology & Virology,Reverse Transcriptase,Antiretroviral agent( HIV-1 RT inhibitor),https://www.apexbt.com/search.php?catalog=A1755,1
36,A1765,Vincristine sulfate,2068-78-2,D04,L1021-01,923.04,DMSO,C46H58N4O14S,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O,≥46.15 mg/mL in DMSO; ≥57 mg/mL in EtOH; ≥58.5 mg/mL in H2O ,Sulfate,Cell Cycle/Checkpoint,Microtubule/Tubulin,"Microtubule disrupter,antitumor agent",https://www.apexbt.com/search.php?catalog=A1765,0
37,A1767,Entecavir Hydrate,209216-23-9,D05,L1021-01,295.29,DMSO,C12H15N5O3·H2O,C=C1C(CC(C1CO)O)N2C=NC3=C2NC(=NC3=O)N.O,insoluble in EtOH; insoluble in H2O; ≥9.7 mg/mL in DMSO ,Hydrate,Microbiology & Virology,Reverse Transcriptase,Antiviral drug used in hepatitis B infection,https://www.apexbt.com/search.php?catalog=A1767,1
38,A1778,Vatalanib (PTK787) 2HCl,212141-51-0,D06,L1021-01,419.73,DMSO,C20H15ClN4·2HCl,C1=CC=C2C(=C1)C(=NN=C2NC3=CC=C(C=C3)Cl)CC4=CC=NC=C4.Cl.Cl,≥21 mg/mL in DMSO; ≥24.5 mg/mL in H2O; ≥3.41 mg/mL in EtOH with ultrasonic,Dihydrochloride,Tyrosine Kinase,VEGFR,Tyrosine kinase receptor inhibitor,https://www.apexbt.com/search.php?catalog=A1778,1
39,A1794,LY2835219,1231930-82-7,D07,L1021-01,602.7,DMSO,C27H32F2N8·CH4O3S,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F.CS(=O)(=O)O,≥30.15 mg/mL in DMSO; ≥55.2 mg/mL in H2O; ≥6.61 mg/mL in EtOH with ultrasonic,Mesylate,Cell Cycle/Checkpoint,Cyclin-Dependent Kinases,"CDK4/6 inhibitor,potent and selective",https://www.apexbt.com/search.php?catalog=A1794,1
40,A1796,Mianserin HCl,21535-47-7,D08,L1021-01,300.83,DMSO,C18H20N2·HCl,CN1CC2C3=C(C=CC=C3)CC4=C(C=CC=C4)N2CC1.Cl,≥15.04 mg/mL in DMSO; ≥2.71 mg/mL in H2O with gentle warming and ultrasonic; ≥8.23 mg/mL in EtOH with ultrasonic,Hydrochloride,Neuroscience,Histamine Receptor,5-HT2 receptor antagonist,https://www.apexbt.com/search.php?catalog=A1796,1
41,A1805,Imatinib Mesylate (STI571),220127-57-1,D09,L1021-01,589.71,DMSO,C29H31N7O·CH4SO3,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O,≥29.5 mg/mL in DMSO; ≥2.84 mg/mL in EtOH with gentle warming and ultrasonic; ≥49.9 mg/mL in H2O ,Mesylate,TGF-β / Smad Signaling,Bcr-Abl,Abl/c-kit/PDGFR inhibitor,https://www.apexbt.com/search.php?catalog=A1805,1
42,A1832,Doxorubicin (Adriamycin) HCl,25316-40-9,D10,L1021-01,579.98,DMSO,C27H29NO11·HCl,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O.Cl,≥29 mg/mL in DMSO; ≥57.2 mg/mL in H2O; insoluble in EtOH,Hydrochloride,DNA Damage/DNA Repair,Topoisomerase,"Antitumour antibiotic,inhibits TOPO II.",https://www.apexbt.com/search.php?catalog=A1832,1
43,A1835,Pelitinib (EKB-569),257933-82-7,D11,L1021-01,467.92,DMSO,C24H23ClFN5O2,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)F)Cl)C#N)NC(=O)C=CCN(C)C,insoluble in EtOH; insoluble in H2O; ≥11.7 mg/mL in DMSO ,Free Base,JAK/STAT Signaling,EGFR,"EGFR inhibitor,potent and irreversible",https://www.apexbt.com/search.php?catalog=A1835,1
44,A1855,Bumetanide,28395-03-1,E01,L1021-01,364.42,DMSO,C17H20N2O5S,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,insoluble in H2O; ≥18.22 mg/mL in DMSO; ≥4.04 mg/mL in EtOH ,Free Base,Membrane Transporter/Ion Channel,NKCC,NKCC cotransporter inhibitor,https://www.apexbt.com/search.php?catalog=A1855,1
45,A1882,Cediranib (AZD217),288383-20-0,E02,L1021-01,450.51,DMSO,C25H27FN4O3,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5,≥22.52 mg/mL in DMSO; insoluble in H2O; insoluble in EtOH,Free Base,Tyrosine Kinase,VEGFR,"VEGFR inhibitor receptor,highly potent",https://www.apexbt.com/search.php?catalog=A1882,1
46,A1903,E 64d,88321-09-9,E03,L1021-01,342.43,DMSO,C17H30N2O5,CCOC(=O)C1C(O1)C(=O)NC(CC(C)C)C(=O)NCCC(C)C,insoluble in H2O; ≥17.12 mg/mL in DMSO; ≥18.5 mg/mL in EtOH ,Free Base,Proteases,Cathepsin,Cysteine protease inhibitor,https://www.apexbt.com/search.php?catalog=A1903,1
47,A1906,"Decitabine (NSC127716, 5AZA-CdR)",2353-33-5,E04,L1021-01,228.08,DMSO,C8H12N4O4,C1C(C(OC1N2C=NC(=NC2=O)N)CO)O,insoluble in EtOH; ≥11.4 mg/mL in DMSO; ≥23.3 mg/mL in H2O with gentle warming,Free Base,Chromatin/Epigenetics,DNA Methyltransferase,Deoxycytidine analog and cellular diifferentiation inducer,https://www.apexbt.com/search.php?catalog=A1906,1
48,A1907,5-Azacytidine,320-67-2,E05,L1021-01,244.2,DMSO,C8H12N4O5,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,insoluble in EtOH; ≥12.21 mg/mL in DMSO; ≥13.55 mg/mL in H2O with ultrasonic,Free Base,Chromatin/Epigenetics,DNA Methyltransferase,DNA methyltransferase inhibitor.,https://www.apexbt.com/search.php?catalog=A1907,1
49,A1929,Macitentan,441798-33-0,E06,L1021-01,588.27,DMSO,C19H20Br2N6O4S,CCCNS(=O)(=O)NC1=C(C(=NC=N1)OCCOC2=NC=C(C=N2)Br)C3=CC=C(C=C3)Br,≥24.4 mg/mL in DMSO; insoluble in H2O; insoluble in EtOH,Free Base,GPCR/G protein,Endothelin Receptor,Endothelin (ET)(A) and ET(B) receptor antagonist,https://www.apexbt.com/search.php?catalog=A1929,1
50,A1932,(-)-Huperzine A,102518-79-6,E07,L1021-01,242.3,DMSO,C15H18N2O,CC=C1C2CC3=C(C1(CC(=C2)C)N)C=CC(=O)N3,insoluble in H2O; ≥12.12 mg/mL in DMSO; ≥23.13 mg/mL in EtOH ,,Neuroscience,Alzheimer,NMDA receptor antagonist/AChE inhibitor,https://www.apexbt.com/search.php?catalog=A1932,0
51,A1933,Carfilzomib (PR-171),868540-17-4,E08,L1021-01,719.91,DMSO,C40H57N5O7,CC(C)CC(C(=O)C1(CO1)C)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(C)C)NC(=O)C(CCC3=CC=CC=C3)NC(=O)CN4CCOCC4,≥35.99 mg/mL in DMSO; insoluble in H2O; ≥2.64 mg/mL in EtOH with gentle warming and ultrasonic,Free Base,Ubiquitination/Proteasome,Proteasome,"Proteasome inhibitor,epoxomicin analog",https://www.apexbt.com/search.php?catalog=A1933,1
52,A1958,Etomidate,33125-97-2,E09,L1021-01,244.29,DMSO,C14H16N2O2,CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2,insoluble in H2O; ≥12.212 mg/mL in DMSO; ≥16.87 mg/mL in EtOH ,Free Base,Neuroscience,GABA Receptor,General anesthetic with GABA modulatory and GABA-mimetic actions,https://www.apexbt.com/search.php?catalog=A1958,1
53,A1971,Etoposide,33419-42-0,E10,L1021-01,588.56,DMSO,C29H32O13,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,≥29.45 mg/mL in DMSO; insoluble in H2O; insoluble in EtOH,Free Base,DNA Damage/DNA Repair,Topoisomerase,Topo II inhibitor,https://www.apexbt.com/search.php?catalog=A1971,1
54,A1984,Bendamustine HCl,3543-75-7,E11,L1021-01,394.72,DMSO,C16H21Cl2N3O2·HCl,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O.Cl,insoluble in H2O; ≥10.4 mg/mL in EtOH; ≥19.74 mg/mL in DMSO ,Hydrochloride,Apoptosis,Apoptosis Inducers,Cytostatic agent for non-Hodgkin lymphomas,https://www.apexbt.com/search.php?catalog=A1984,1
55,A2025,Plerixafor (AMD3100),110078-46-1,F01,L1021-01,502.78,EtOH,C28H54N8,C1CNCCNCCCN(CCNC1)CC2=CC=C(C=C2)CN3CCCNCCNCCCNCC3,≥25.14 mg/mL in EtOH; insoluble in DMSO; ≥2.9 mg/mL in H2O with gentle warming,Free Base,GPCR/G protein,CXCR,CXCR4 chemokine receptor antagonist,https://www.apexbt.com/search.php?catalog=A2025,1
56,A2036,Doripenem Hydrate,364622-82-2,F02,L1021-01,438.52,DMSO,C15H24N4O6S2·H2O,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)CNS(=O)(=O)N)C(=O)O)C(C)O.O,insoluble in EtOH; ≥10.96 mg/mL in DMSO; ≥9.4 mg/mL in H2O ,Free Base,Microbiology & Virology,Antibiotic,"Injectable antibiotic,ultra-broad spectrum",https://www.apexbt.com/search.php?catalog=A2036,1
57,A2097,Ifosfamide,3778-73-2,F03,L1021-01,261.09,DMSO,C7H15Cl2N2O2P,C1CN(P(=O)(OC1)NCCCl)CCCl,≥13.05 mg/mL in DMSO; ≥22 mg/mL in H2O; ≥61.5 mg/mL in EtOH,Free Base,DNA Damage/DNA Repair,DNA Synthesis,Cytostatic agent,https://www.apexbt.com/search.php?catalog=A2097,1
58,A2133,Saracatinib (AZD0530),379231-04-6,F04,L1021-01,542.03,DMSO,C27H32ClN5O5,CN1CCN(CC1)CCOC2=CC(=C3C(=C2)N=CN=C3NC4=C(C=CC5=C4OCO5)Cl)OC6CCOCC6,≥27.1 mg/mL in DMSO; insoluble in EtOH; ≥2.36 mg/mL in H2O with ultrasonic,Free Base,TGF-β / Smad Signaling,Bcr-Abl,"Src/Abl inhibitor,potent and selective",https://www.apexbt.com/search.php?catalog=A2133,1
59,A2149,Bosutinib (SKI-606),380843-75-4,F05,L1021-01,530.45,DMSO,C26H29Cl2N5O3,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,≥26.5 mg/mL in DMSO; insoluble in H2O; ≥2.16 mg/mL in EtOH with ultrasonic,Free Base,TGF-β / Smad Signaling,Bcr-Abl,Potent Abl/Src kinases,https://www.apexbt.com/search.php?catalog=A2149,1
